country,gold,silver,bronze
AFG,0,0,2
AHO,0,1,0
ALG,5,2,8
ANZ,20,4,5
ARG,69,99,91
ARM,1,2,8
AUS,312,405,472
AUT,21,81,44
AZE,6,5,15
BAH,13,9,5
BAR,0,0,1
BDI,1,0,0
BEL,91,168,152
BER,0,0,1
BLR,17,37,59
BOH,0,1,6
BOT,0,1,0
BRA,73,173,185
BRN,0,0,1
BUL,53,143,137
BWI,0,0,5
CAN,155,232,262
CHI,3,9,21
CHN,289,296,221
CIV,0,1,0
CMR,20,1,2
COL,2,6,11
CRC,1,1,2
CRO,46,34,34
CUB,165,129,116
CYP,0,1,0
CZE,14,22,20
DEN,150,197,160
DJI,0,0,1
DOM,3,2,1
ECU,1,1,0
EGY,7,10,11
ERI,0,0,1
ESP,98,227,117
EST,9,10,20
ETH,21,8,16
EUA,68,100,92
EUN,92,65,66
FIN,124,120,212
FRA,408,491,497
FRG,143,167,180
GAB,0,1,0
GBR,546,621,553
GDR,329,271,225
GEO,6,5,14
GER,452,378,475
GHA,0,1,15
GRE,34,62,52
GRN,1,0,0
GUA,0,1,0
GUY,0,0,1
HAI,0,1,7
HKG,1,2,1
HUN,412,316,351
INA,9,16,13
IND,127,18,38
IOP,0,1,2
IRI,16,21,24
IRL,9,9,12
IRQ,0,0,1
ISL,0,15,2
ISR,1,1,5
ISV,0,1,0
ITA,476,416,404
JAM,31,49,47
JPN,213,272,303
KAZ,12,17,20
KEN,28,35,30
KGZ,0,1,2
KOR,158,204,167
KSA,0,1,5
KUW,0,0,2
LAT,3,11,6
LIB,0,2,2
LTU,6,5,44
LUX,1,1,0
MAR,6,5,11
MAS,0,4,4
MDA,0,3,3
MEX,32,23,51
MGL,2,9,13
MKD,0,0,1
MNE,0,14,0
MOZ,1,0,1
MRI,0,0,1
NAM,0,4,0
NED,233,279,339
NGR,19,38,27
NIG,0,0,1
NOR,209,200,145
NZL,85,30,75
PAK,42,45,34
PAN,1,0,2
PAR,0,17,0
PER,1,14,0
PHI,0,2,7
POL,106,174,231
POR,4,11,18
PRK,14,12,32
PUR,0,2,6
QAT,0,0,4
ROU,157,195,288
RSA,30,39,37
RU1,1,7,9
RUS,239,238,291
SCG,0,14,0
SEN,0,1,0
SGP,0,0,4
SIN,0,4,0
SLO,5,7,14
SRB,1,2,28
SRI,0,2,0
SUD,0,1,0
SUI,75,167,138
SUR,1,0,1
SVK,10,12,12
SWE,349,367,328
SYR,1,1,1
TAN,0,2,0
TCH,80,144,105
TGA,0,1,0
THA,7,6,12
TJK,0,1,2
TOG,0,0,1
TPE,3,27,14
TRI,1,8,11
TTO,1,4,5
TUN,4,2,4
TUR,38,25,23
UAE,1,0,0
UGA,2,3,2
UKR,41,42,90
URS,838,627,584
URU,44,2,30
USA,2235,1252,1098
UZB,5,5,10
VEN,2,2,8
VIE,0,2,0
YUG,143,174,118
ZAM,0,1,1
ZIM,18,4,1
ZZX,23,15,10
