country,sport,value
AUS,Aquatics,204
AUS,Athletics,44
AUS,Basketball,60
AUS,Canoe,1
AUS,"Canoe / Kayak",9
AUS,Cycling,14
AUS,Equestrian,6
AUS,Hockey,48
AUS,Judo,1
AUS,Rowing,20
AUS,Sailing,7
AUS,Shooting,4
AUS,Softball,60
AUS,Taekwondo,1
AUS,Tennis,5
AUS,Triathlon,5
AUS,Volleyball,4
CHN,Aquatics,111
CHN,Archery,15
CHN,Athletics,19
CHN,Badminton,39
CHN,Basketball,24
CHN,Boxing,2
CHN,Cycling,7
CHN,Fencing,15
CHN,Football,16
CHN,Gymnastics,40
CHN,Handball,13
CHN,Hockey,16
CHN,Judo,20
CHN,Rowing,26
CHN,Sailing,5
CHN,Shooting,21
CHN,Softball,15
CHN,"Table Tennis",39
CHN,Taekwondo,6
CHN,Tennis,4
CHN,Volleyball,64
CHN,Weightlifting,15
CHN,Wrestling,4
GER,Aquatics,76
GER,Archery,6
GER,Athletics,42
GER,Canoe,6
GER,"Canoe / Kayak",31
GER,Cycling,11
GER,Equestrian,30
GER,Fencing,20
GER,Football,53
GER,Gymnastics,10
GER,Hockey,32
GER,Judo,6
GER,"Modern Pentathlon",1
GER,Rowing,53
GER,Sailing,1
GER,Shooting,4
GER,Skating,3
GER,Taekwondo,1
GER,Tennis,3
KEN,Athletics,13
USA,Aquatics,540
USA,Archery,17
USA,Athletics,197
USA,Basketball,108
USA,Boxing,2
USA,"Canoe / Kayak",6
USA,Cycling,16
USA,Equestrian,36
USA,Fencing,15
USA,Football,86
USA,Golf,3
USA,Gymnastics,81
USA,Hockey,16
USA,Judo,3
USA,"Modern Pentathlon",1
USA,Rowing,72
USA,Sailing,10
USA,Shooting,13
USA,Skating,1
USA,Softball,60
USA,Taekwondo,3
USA,Tennis,26
USA,Triathlon,1
USA,Volleyball,58
USA,Weightlifting,2
USA,Wrestling,4
